"division","district","upazila"
"Barisal","Barguna","Amtali"
"Barisal","Barguna","Bamna"
"Barisal","Barguna","Barguna Sadar"
"Barisal","Barguna","Betagi"
"Barisal","Barguna","Patharghata"
"Barisal","Barguna","Taltali"
"Barisal","Barisal","Agailjhara"
"Barisal","Barisal","Babuganj"
"Barisal","Barisal","Bakerganj"
"Barisal","Barisal","Banaripara"
"Barisal","Barisal","Gaurnadi"
"Barisal","Barisal","Hizla"
"Barisal","Barisal","Barisal Sadar"
"Barisal","Barisal","Mehendiganj"
"Barisal","Barisal","Muladi"
"Barisal","Barisal","Wazirpur"
"Barisal","Bhola","Bhola Sadar"
"Barisal","Bhola","Burhanuddin"
"Barisal","Bhola","Char Fasson"
"Barisal","Bhola","Daulatkhan"
"Barisal","Bhola","Lalmohan"
"Barisal","Bhola","Manpura"
"Barisal","Bhola","Tazumuddin"
"Barisal","Jhalokati","Jhalokati Sadar"
"Barisal","Jhalokati","Kathalia"
"Barisal","Jhalokati","Nalchity"
"Barisal","Jhalokati","Rajapur"
"Barisal","Patuakhali","Bauphal"
"Barisal","Patuakhali","Dashmina"
"Barisal","Patuakhali","Galachipa"
"Barisal","Patuakhali","Kalapara"
"Barisal","Patuakhali","Mirzaganj"
"Barisal","Patuakhali","Patuakhali Sadar"
"Barisal","Patuakhali","Rangabali"
"Barisal","Patuakhali","Dumki"
"Barisal","Pirojpur","Bhandaria"
"Barisal","Pirojpur","Kawkhali"
"Barisal","Pirojpur","Mathbaria"
"Barisal","Pirojpur","Nazirpur"
"Barisal","Pirojpur","Pirojpur Sadar"
"Barisal","Pirojpur","Nesarabad (Swarupkati)"
"Barisal","Pirojpur","Indurkani"
"Dhaka","Dhaka","Dhamrai"
"Dhaka","Dhaka","Dohar"
"Dhaka","Dhaka","Keraniganj"
"Dhaka","Dhaka","Nawabganj"
"Dhaka","Dhaka","Savar"
"Dhaka","Dhaka","Tejgaon Circle"
"Dhaka","Gazipur","Gazipur Sadar"
"Dhaka","Gazipur","Kaliakair"
"Dhaka","Gazipur","Kaliganj"
"Dhaka","Gazipur","Kapasia"
"Dhaka","Gazipur","Sreepur"
"Dhaka","Gopalganj","Gopalganj Sadar"
"Dhaka","Gopalganj","Kashiani"
"Dhaka","Gopalganj","Kotalipara"
"Dhaka","Gopalganj","Muksudpur"
"Dhaka","Gopalganj","Tungipara"
"Dhaka","Kishoreganj","Austagram"
"Dhaka","Kishoreganj","Bajitpur"
"Dhaka","Kishoreganj","Bhairab"
"Dhaka","Kishoreganj","Hossainpur"
"Dhaka","Kishoreganj","Itna"
"Dhaka","Kishoreganj","Karimganj"
"Dhaka","Kishoreganj","Katiadi"
"Dhaka","Kishoreganj","Kishoreganj Sadar"
"Dhaka","Kishoreganj","Kuliarchar"
"Dhaka","Kishoreganj","Mithamain"
"Dhaka","Kishoreganj","Nikli"
"Dhaka","Kishoreganj","Pakundia"
"Dhaka","Kishoreganj","Tarail"
"Dhaka","Madaripur","Rajoir"
"Dhaka","Madaripur","Madaripur Sadar"
"Dhaka","Madaripur","Kalkini"
"Dhaka","Madaripur","Shibchar"
"Dhaka","Manikganj","Daulatpur"
"Dhaka","Manikganj","Ghior"
"Dhaka","Manikganj","Harirampur"
"Dhaka","Manikganj","Manikgonj Sadar"
"Dhaka","Manikganj","Saturia"
"Dhaka","Manikganj","Shivalaya"
"Dhaka","Manikganj","Singair"
"Dhaka","Munshiganj","Gazaria"
"Dhaka","Munshiganj","Lohajang"
"Dhaka","Munshiganj","Munshiganj Sadar"
"Dhaka","Munshiganj","Sirajdikhan"
"Dhaka","Munshiganj","Sreenagar"
"Dhaka","Munshiganj","Tongibari"
"Dhaka","Narayanganj","Araihazar"
"Dhaka","Narayanganj","Bandar"
"Dhaka","Narayanganj","Narayanganj Sadar"
"Dhaka","Narayanganj","Rupganj"
"Dhaka","Narayanganj","Sonargaon"
"Dhaka","Rajbari","Baliakandi"
"Dhaka","Rajbari","Goalandaghat"
"Dhaka","Rajbari","Pangsha"
"Dhaka","Rajbari","Rajbari Sadar"
"Dhaka","Rajbari","Kalukhali"
"Dhaka","Shariatpur","Bhedarganj"
"Dhaka","Shariatpur","Damudya"
"Dhaka","Shariatpur","Gosairhat"
"Dhaka","Shariatpur","Naria"
"Dhaka","Shariatpur","Shariatpur Sadar"
"Dhaka","Shariatpur","Zajira"
"Dhaka","Shariatpur","Shakhipur"
"Dhaka","Faridpur","Alfadanga"
"Dhaka","Faridpur","Bhanga"
"Dhaka","Faridpur","Boalmari"
"Dhaka","Faridpur","Charbhadrasan"
"Dhaka","Faridpur","Faridpur Sadar"
"Dhaka","Faridpur","Madhukhali"
"Dhaka","Faridpur","Nagarkanda"
"Dhaka","Faridpur","Sadarpur"
"Dhaka","Faridpur","Saltha"
